Flight No,Date,"Version, booster",Launch site (wiki),Payload,Payload mass,Orbit (wiki),Customer,Launch outcome,Booster landing,date_only
306,"March 4, 2024 22:05[66]",F9 B5 B1081‑5,"Vandenberg, SLC‑4E",Transporter-10 (53 payload smallsat rideshare),,SSO,Various,Success,Success (LZ‑4),NaT
306,"Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[67][68] Third time a second stage featured Falcon medium coast mission-extension kit.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[67][68] Third time a second stage featured Falcon medium coast mission-extension kit.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[67][68] Third time a second stage featured Falcon medium coast mission-extension kit.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[67][68] Third time a second stage featured Falcon medium coast mission-extension kit.",1000.0,"Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[67][68] Third time a second stage featured Falcon medium coast mission-extension kit.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[67][68] Third time a second stage featured Falcon medium coast mission-extension kit.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[67][68] Third time a second stage featured Falcon medium coast mission-extension kit.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[67][68] Third time a second stage featured Falcon medium coast mission-extension kit.",NaT
307,"March 4, 2024 23:56[69]",F9 B5 B1073‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-41 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),NaT
307,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between the USSF-52 (Boeing X-37B OTV-7) and Starlink Group 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment of Transporter-10:(53 payloads SmallSat Rideshare).[70] It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between the USSF-52 (Boeing X-37B OTV-7) and Starlink Group 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment of Transporter-10:(53 payloads SmallSat Rideshare).[70] It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between the USSF-52 (Boeing X-37B OTV-7) and Starlink Group 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment of Transporter-10:(53 payloads SmallSat Rideshare).[70] It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between the USSF-52 (Boeing X-37B OTV-7) and Starlink Group 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment of Transporter-10:(53 payloads SmallSat Rideshare).[70] It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.",23.0,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between the USSF-52 (Boeing X-37B OTV-7) and Starlink Group 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment of Transporter-10:(53 payloads SmallSat Rideshare).[70] It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between the USSF-52 (Boeing X-37B OTV-7) and Starlink Group 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment of Transporter-10:(53 payloads SmallSat Rideshare).[70] It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between the USSF-52 (Boeing X-37B OTV-7) and Starlink Group 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment of Transporter-10:(53 payloads SmallSat Rideshare).[70] It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between the USSF-52 (Boeing X-37B OTV-7) and Starlink Group 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment of Transporter-10:(53 payloads SmallSat Rideshare).[70] It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.",NaT
308,"March 10, 2024 23:05[71]",F9 B5 B1077‑11,"Cape Canaveral, SLC‑40",Starlink: Group 6-43 (23 satellites),17100.0,LEO,SpaceX,Success,Success (JRTI),NaT
308,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,NaT
309,"March 11, 2024 04:09[72]",F9 B5 B1063‑17,"Vandenberg, SLC‑4E",Starlink: Group 7-17 (23 satellites),17100.0,LEO,SpaceX,Success,Success (OCISLY),NaT
309,Launch of 23 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2 mini satellites are launched on a flight from Vandenberg.,Launch of 23 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2 mini satellites are launched on a flight from Vandenberg.,Launch of 23 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2 mini satellites are launched on a flight from Vandenberg.,Launch of 23 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2 mini satellites are launched on a flight from Vandenberg.,23.0,Launch of 23 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2 mini satellites are launched on a flight from Vandenberg.,Launch of 23 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2 mini satellites are launched on a flight from Vandenberg.,Launch of 23 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2 mini satellites are launched on a flight from Vandenberg.,Launch of 23 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2 mini satellites are launched on a flight from Vandenberg.,NaT
310,"March 16, 2024 00:21[73]",F9 B5 B1062‑19,"Kennedy, LC‑39A",Starlink: Group 6-44 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),NaT
310,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,NaT
311,"March 19, 2024 02:28[74]",F9 B5 B1075‑10,"Vandenberg, SLC‑4E",Starlink: Group 7-16 (20 satellites) + 2 Starshield satellites,16300.0,LEO,SpaceX,Success,Success (OCISLY),NaT
311,Launch of 20 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[75][76],Launch of 20 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[75][76],Launch of 20 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[75][76],Launch of 20 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[75][76],20.0,Launch of 20 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[75][76],Launch of 20 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[75][76],Launch of 20 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[75][76],Launch of 20 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[75][76],NaT
312,"March 21, 2024 20:55[77]",F9 B5 B1080‑6,"Cape Canaveral, SLC‑40",SpaceX CRS-30 (Dragon C209-4),2721.0,LEO (ISS),NASA (CRS),Success,Success (LZ‑1),NaT
312,"Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.",2.0,"Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.",NaT
313,"March 24, 2024 03:09[79]",F9 B5 B1060‑19,"Kennedy, LC‑39A",Starlink: Group 6-42 (23 satellites),17100.0,LEO,SpaceX,Success,Success (JRTI),NaT
313,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,NaT
314,"March 25, 2024 23:42[80]",F9 B5 B1078‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-46 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),NaT
314,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]",23.0,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]",NaT
315,"March 30, 2024 21:52[82]",F9 B5 B1076‑12,"Kennedy, LC‑39A",Eutelsat 36D,5000.0,GTO,Eutelsat,Success,Success (JRTI),NaT
315,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,NaT
316,"March 31, 2024 01:30[83]",F9 B5 B1067‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-45 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),NaT
316,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,NaT
317,"April 2, 2024 02:30[84]",F9 B5 B1071‑15,"Vandenberg, SLC‑4E",Starlink: Group 7-18 (22 satellites),16700.0,LEO,SpaceX,Success,Success (OCISLY),NaT
317,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,22.0,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,NaT
318,"April 5, 2024 09:12[85]",F9 B5 B1069‑14,"Cape Canaveral, SLC‑40",Starlink: Group 6-47 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),NaT
318,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,NaT
319,"April 7, 2024 02:25[86]",F9 B5 B1081‑6,"Vandenberg, SLC‑4E",Starlink: Group 8-1 (21 satellites),16800.0,LEO,SpaceX,Success,Success (OCISLY),NaT
319,"Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",21.0,"Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",NaT
320,"April 7, 2024 23:16[87]",F9 B5 B1073‑14,"Kennedy, LC‑39A",Bandwagon-1 (11 payload smallsat rideshare) 425 Project Flight 2,,LEO,Various Republic of Korea Armed Forces,Success,Success (LZ‑1),NaT
320,"Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).",45.0,"Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).",NaT
321,"April 10, 2024 05:40[89]",F9 B5 B1083‑2,"Cape Canaveral, SLC‑40",Starlink: Group 6-48 (23 satellites),17100.0,LEO,SpaceX,Success,Success (JRTI),NaT
321,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,NaT
322,"April 11, 2024 14:25[90]",F9 B5 B1082‑3,"Vandenberg, SLC‑4E",USSF-62 (WSF-M 1),1200.0,SSO,USSF,Success,Success (LZ‑4),NaT
322,"Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]",2.0,"Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]",NaT
323,"April 13, 2024 01:40[92]",F9 B5 B1062‑20,"Cape Canaveral, SLC‑40",Starlink: Group 6-49 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),NaT
